TM/HM #,Attack Name
TM01,Focus Punch
TM03,Water Pulse
TM06,Toxic
TM10,Hidden Power
TM11,Sunny Day
TM13,Ice Beam
TM14,Blizzard
TM17,Protect
TM18,Rain Dance
TM21,Frustration
TM22,Solarbeam
TM23,Iron Tail
TM24,Thunderbolt
TM27,Return
TM28,Dig
TM30,Shadow Ball
TM31,Brick Break
TM32,Double Team
TM34,Shock Wave
TM35,Flamethrower
TM38,Fire Blast
TM39,Rock Tomb
TM40,Aerial Ace
TM42,Facade
TM43,Secret Power
TM44,Rest
TM45,Attract
TM46,Thief
TM48,Skill Swap
TM49,Snatch
HM01,Cut
HM04,Strength
HM05,Flash
HM06,Rock Smash
DM01,Horizontal Cut
DM02,Vacuum Cut
